experiment_id	dataset	budget	seed	config_path	output_root
r14_e6_r2_congressional_k10_seed42	congressional	10	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k10_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k10/seed42
r14_e6_r2_congressional_k10_seed123	congressional	10	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k10_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k10/seed123
r14_e6_r2_congressional_k14_seed42	congressional	14	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k14_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k14/seed42
r14_e6_r2_congressional_k14_seed123	congressional	14	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k14_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k14/seed123
r14_e6_r2_congressional_k18_seed42	congressional	18	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k18_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k18/seed42
r14_e6_r2_congressional_k18_seed123	congressional	18	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k18_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k18/seed123
r14_e6_r2_congressional_k22_seed42	congressional	22	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k22_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k22/seed42
r14_e6_r2_congressional_k22_seed123	congressional	22	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k22_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k22/seed123
r14_e6_r2_congressional_k26_seed42	congressional	26	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k26_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k26/seed42
r14_e6_r2_congressional_k26_seed123	congressional	26	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k26_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k26/seed123
r14_e6_r2_congressional_k30_seed42	congressional	30	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k30_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k30/seed42
r14_e6_r2_congressional_k30_seed123	congressional	30	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k30_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k30/seed123
r14_e6_r2_congressional_k34_seed42	congressional	34	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k34_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k34/seed42
r14_e6_r2_congressional_k34_seed123	congressional	34	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k34_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k34/seed123
r14_e6_r2_congressional_k38_seed42	congressional	38	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k38_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k38/seed42
r14_e6_r2_congressional_k38_seed123	congressional	38	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k38_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k38/seed123
r14_e6_r2_congressional_k42_seed42	congressional	42	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k42_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k42/seed42
r14_e6_r2_congressional_k42_seed123	congressional	42	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k42_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k42/seed123
r14_e6_r2_congressional_k46_seed42	congressional	46	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k46_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k46/seed42
r14_e6_r2_congressional_k46_seed123	congressional	46	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k46_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k46/seed123
r14_e6_r2_congressional_k50_seed42	congressional	50	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k50_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k50/seed42
r14_e6_r2_congressional_k50_seed123	congressional	50	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k50_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k50/seed123
r14_e6_r2_congressional_k54_seed42	congressional	54	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k54_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k54/seed42
r14_e6_r2_congressional_k54_seed123	congressional	54	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k54_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k54/seed123
r14_e6_r2_congressional_k58_seed42	congressional	58	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k58_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k58/seed42
r14_e6_r2_congressional_k58_seed123	congressional	58	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k58_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k58/seed123
r14_e6_r2_congressional_k62_seed42	congressional	62	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k62_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k62/seed42
r14_e6_r2_congressional_k62_seed123	congressional	62	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k62_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k62/seed123
r14_e6_r2_forums_k6_seed42	forums	6	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k6_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k6/seed42
r14_e6_r2_forums_k6_seed123	forums	6	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k6_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k6/seed123
r14_e6_r2_forums_k10_seed42	forums	10	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k10_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k10/seed42
r14_e6_r2_forums_k10_seed123	forums	10	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k10_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k10/seed123
r14_e6_r2_forums_k14_seed42	forums	14	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k14_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k14/seed42
r14_e6_r2_forums_k14_seed123	forums	14	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k14_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k14/seed123
r14_e6_r2_forums_k18_seed42	forums	18	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k18_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k18/seed42
r14_e6_r2_forums_k18_seed123	forums	18	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k18_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k18/seed123
r14_e6_r2_forums_k22_seed42	forums	22	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k22_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k22/seed42
r14_e6_r2_forums_k22_seed123	forums	22	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k22_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k22/seed123
r14_e6_r2_forums_k26_seed42	forums	26	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k26_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k26/seed42
r14_e6_r2_forums_k26_seed123	forums	26	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k26_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k26/seed123
r14_e6_r2_forums_k30_seed42	forums	30	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k30_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k30/seed42
r14_e6_r2_forums_k30_seed123	forums	30	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k30_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k30/seed123
r14_e6_r2_forums_k34_seed42	forums	34	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k34_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k34/seed42
r14_e6_r2_forums_k34_seed123	forums	34	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k34_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k34/seed123
r14_e6_r2_forums_k38_seed42	forums	38	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k38_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k38/seed42
r14_e6_r2_forums_k38_seed123	forums	38	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k38_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k38/seed123
r14_e6_r2_forums_k42_seed42	forums	42	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k42_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k42/seed42
r14_e6_r2_forums_k42_seed123	forums	42	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k42_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k42/seed123
r14_e6_r2_forums_k46_seed42	forums	46	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k46_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k46/seed42
r14_e6_r2_forums_k46_seed123	forums	46	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k46_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k46/seed123
r14_e6_r2_forums_k50_seed42	forums	50	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k50_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k50/seed42
r14_e6_r2_forums_k50_seed123	forums	50	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k50_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k50/seed123
r14_e6_r2_forums_k54_seed42	forums	54	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k54_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k54/seed42
r14_e6_r2_forums_k54_seed123	forums	54	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k54_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k54/seed123
r14_e6_r2_forums_k58_seed42	forums	58	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k58_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k58/seed42
r14_e6_r2_forums_k58_seed123	forums	58	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k58_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k58/seed123
r14_e6_r2_forums_k62_seed42	forums	62	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k62_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k62/seed42
r14_e6_r2_forums_k62_seed123	forums	62	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_forums_k62_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/forums/k62/seed123
r14_e6_r2_microblog_k6_seed42	microblog	6	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_microblog_k6_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/microblog/k6/seed42
r14_e6_r2_microblog_k6_seed123	microblog	6	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_microblog_k6_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/microblog/k6/seed123
r14_e6_r2_microblog_k10_seed42	microblog	10	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_microblog_k10_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/microblog/k10/seed42
r14_e6_r2_microblog_k10_seed123	microblog	10	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_microblog_k10_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/microblog/k10/seed123
r14_e6_r2_microblog_k14_seed42	microblog	14	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_microblog_k14_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/microblog/k14/seed42
r14_e6_r2_microblog_k14_seed123	microblog	14	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_microblog_k14_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/microblog/k14/seed123
r14_e6_r2_microblog_k18_seed42	microblog	18	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_microblog_k18_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/microblog/k18/seed42
